Word,manual_modality
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
what,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
when,amodal
whenever,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
where,amodal
which,amodal
which,amodal
which,amodal
which,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
with,amodal
without,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
would,amodal
almost,amodal
almost,amodal
almost,amodal
almost,amodal
almost,amodal
am,amodal
because,amodal
because,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
can,amodal
ever,amodal
ever,amodal
fifteen,amodal
first,amodal
first,amodal
five,amodal
five,amodal
five,amodal
five,amodal
five,amodal
five,amodal
four,amodal
four,amodal
four,amodal
four,amodal
four,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
from,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
had,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
have,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
he,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
her,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
how,amodal
hundred,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
if,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
in,amodal
inside,amodal
inside,amodal
inside,amodal
instead,amodal
into,amodal
into,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
is,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
it,amodal
its,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
just,amodal
literally,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
me,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
my,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
not,amodal
nothing,amodal
nothing,amodal
nothing,amodal
nothing,amodal
now,amodal
now,amodal
now,amodal
now,amodal
now,amodal
now,amodal
now,amodal
now,amodal
now,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
of,amodal
off,amodal
off,amodal
off,amodal
off,amodal
off,amodal
off,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
on,amodal
once,amodal
once,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
one,amodal
only,amodal
only,amodal
only,amodal
across,amodal
actually,amodal
actually,amodal
actually,amodal
actually,amodal
already,amodal
already,amodal
anybody,amodal
behind,amodal
each,amodal
end,amodal
end,amodal
enough,amodal
every,amodal
exactly,amodal
except,amodal
few,amodal
few,amodal
him,amodal
him,amodal
him,amodal
him,amodal
his,amodal
his,amodal
his,amodal
his,amodal
his,amodal
his,amodal
his,amodal
his,amodal
his,amodal
his,amodal
last,amodal
last,amodal
left,amodal
let,amodal
let,amodal
let,amodal
let,amodal
let,amodal
let,amodal
let,amodal
let,amodal
lot,amodal
lot,amodal
maybe,amodal
maybe,amodal
maybe,amodal
maybe,amodal
maybe,amodal
might,amodal
might,amodal
might,amodal
might,amodal
mine,amodal
mine,amodal
minus,amodal
much,amodal
much,amodal
much,amodal
much,amodal
much,amodal
much,amodal
nobody,amodal
none,amodal
often,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
or,amodal
other,amodal
other,amodal
other,amodal
other,amodal
other,amodal
other,amodal
other,amodal
other,amodal
other,amodal
our,amodal
our,amodal
our,amodal
our,amodal
our,amodal
our,amodal
our,amodal
our,amodal
our,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
out,amodal
past,amodal
past,amodal
probably,amodal
probably,amodal
probably,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
really,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
right,amodal
seven,amodal
seven,amodal
seven,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
she,amodal
should,amodal
should,amodal
should,amodal
should,amodal
should,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
so,amodal
some,amodal
some,amodal
some,amodal
some,amodal
some,amodal
some,amodal
some,amodal
some,amodal
some,amodal
somebody,amodal
someday,amodal
someone,amodal
ten,amodal
than,amodal
than,amodal
them,amodal
them,amodal
them,amodal
them,amodal
them,amodal
them,amodal
them,amodal
them,amodal
them,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
then,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
there,amodal
these,amodal
these,amodal
these,amodal
these,amodal
these,amodal
these,amodal
these,amodal
these,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
they,amodal
thirty,amodal
thirty,amodal
three,amodal
three,amodal
three,amodal
three,amodal
times,amodal
today,amodal
until,amodal
upon,amodal
upside,amodal
us,amodal
us,amodal
us,amodal
us,amodal
usually,amodal
usually,amodal
usually,amodal
very,amodal
very,amodal
very,amodal
very,amodal
very,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
was,amodal
