"","...1","Word","VIHI_ID","group","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean","Foot_leg.mean","Hand_arm.mean","Head.mean","Mouth.mean","Torso.mean","Auditory.SD","Gustatory.SD","Haptic.SD","Interoceptive.SD","Olfactory.SD","Visual.SD","Foot_leg.SD","Hand_arm.SD","Head.SD","Mouth.SD","Torso.SD","Max_strength.perceptual","Minkowski3.perceptual","Exclusivity.perceptual","Dominant.perceptual","Max_strength.action","Minkowski3.action","Exclusivity.action","Dominant.action","Max_strength.sensorimotor","Minkowski3.sensorimotor","Exclusivity.sensorimotor","Dominant.sensorimotor","sampling_type","utt_loc","uttnum","xds","speaker","Modality"
"111",111,"though","TD_463_254","TD",1.35,0,0.35,0.9,0,1.1,0.19047619,0.238095238,1.285714286,0.952380952,0.19047619,1.87153188,0,1.182103388,1.744163199,0,1.803505359,0.679635757,0.700340053,1.978455386,1.745743122,0.679635757,1.35,1.658662735,0.364864865,"Auditory",1.285714286,1.444892198,0.383333333,"Head",1.35,1.964349194,0.205882353,"Auditory","random","Word4",566,"C","FA2","Amodal"
"112",112,"do","TD_477_217","TD",1.217391304,0.956521739,1.347826087,2.47826087,0.826086957,1.695652174,3.736842105,3.947368421,3.578947368,2.947368421,3.368421053,1.756973683,1.795911034,2.058434879,1.780438282,1.749082199,1.769303474,1.75885396,1.649029486,1.67715995,2.040525102,1.891810606,2.47826087,2.954420301,0.193877551,"Interoceptive",3.947368421,6.067324764,0.056886228,"Hand_arm",3.947368421,6.292381131,0.119586183,"Hand_arm","random","Word3",11357,"C","UC1","Amodal"
"113",113,"other","TD_473_844","TD",1.476190476,0.714285714,1.19047619,0.857142857,0.571428571,2.571428571,0.6,0.85,1.2,0.6,0.3,1.503963019,1.488047618,1.631534481,1.824437291,1.247855303,1.748468718,1.353358396,1.663066287,1.989445837,1.187655807,0.801314709,2.571428571,2.847476149,0.270967742,"Visual",1.2,1.409648488,0.253521127,"Head",2.571428571,2.958266749,0.207797865,"Visual","random","Word5",20744,"A","FA1","Amodal"
"114",114,"hold","VI_013_206","VI",0.352941176,0,4.352941176,0.647058824,0,3.588235294,0.684210526,4.578947368,1.631578947,1.315789474,0.789473684,0.785905248,0,1.114740803,1.411611511,0,1.622452755,1.002919714,0.96123702,2.113725682,1.600438536,1.134261746,4.352941176,5.052707909,0.486842105,"Haptic",4.578947368,4.694204758,0.432748538,"Hand_arm",4.578947368,6.148465778,0.255220017,"Hand_arm","random","Word4",26938,"C","FA1","Multimodal"
"115",115,"while","VI_005_263","VI",0.444444444,0.277777778,0.277777778,0.722222222,0.277777778,0.777777778,0.894736842,1.052631579,1.789473684,1.157894737,0.894736842,1.338226316,1.178511302,1.178511302,1.637988564,1.178511302,1.592465922,1.486783883,1.544656891,1.812884361,1.675415633,1.486783883,0.777777778,0.999771324,0.18,"Visual",1.789473684,2.145899189,0.154545455,"Head",1.789473684,2.215926404,0.176450512,"Head","high-volubility","Word1",28730,"A","FAE","Amodal"
"116",116,"as","TD_477_217","TD",1.294117647,0.176470588,0.352941176,0.411764706,0.235294118,1.117647059,0.333333333,0.333333333,1.277777778,0.444444444,0.388888889,1.862951485,0.52859414,0.861769725,0.870260272,0.664211164,1.691240408,0.9701425,0.9701425,1.742397117,0.983524408,0.978527639,1.294117647,1.546081712,0.31147541,"Auditory",1.277777778,1.321330022,0.34,"Head",1.294117647,1.817386315,0.175564682,"Auditory","random","Word3",11198,"C","FA1","Amodal"
"117",117,"the","TD_467_433","TD",1.055555556,0.111111111,0,0.166666667,0.166666667,0.944444444,0.1,0.1,1,0.85,0.1,1.625973816,0.471404521,0,0.707106781,0.707106781,1.589384721,0.447213595,0.447213595,1.685854461,1.755442664,0.447213595,1.055555556,1.266012567,0.431818182,"Auditory",1,1.173765113,0.418604651,"Head",1.055555556,1.539157705,0.22974607,"Auditory","high-volubility","Word2",16982,"A","FA1","Amodal"
"118",118,"if","VI_015_195","VI",1.529411765,0,0.117647059,0.882352941,0,1.058823529,0.263157895,0.736842105,1,1,0.210526316,1.940285,0,0.332105582,1.691240408,0,1.712840778,0.653376296,1.407997209,1.290994449,1.666666667,0.535303379,1.529411765,1.760140706,0.426229508,"Auditory",1,1.343981135,0.245901639,"Mouth",1.529411765,1.99000825,0.224954463,"Auditory","high-volubility","Word1",44788,"A","FA2","Amodal"
"119",119,"down","VI_015_195","VI",1.222222222,0.277777778,0.611111111,2.611111111,0.277777778,3.277777778,0.75,0.8,1.75,0.65,0.55,1.832887646,1.178511302,1.377930626,2.304442995,1.178511302,1.994272846,1.446411167,1.50787407,2.048748013,1.348488433,1.099042646,3.277777778,3.805602421,0.362416107,"Visual",1.75,1.888410522,0.266666667,"Head",3.277777778,3.954682368,0.234782609,"Visual","random","Word6",45221,"C","FA1","Amodal"
"120",120,"fan","TD_464_188","TD",3.238095238,0.285714286,2.428571429,0.476190476,0.285714286,3.80952381,0.619047619,2.238095238,1.904761905,0.571428571,1.095238095,1.786190413,1.10194633,1.886038933,1.289148852,1.10194633,1.600595127,1.160869953,1.868281614,1.997617629,1.121223821,1.513431925,3.80952381,4.698386671,0.334841629,"Visual",2.238095238,2.708027617,0.259259259,"Hand_arm",3.80952381,4.980930132,0.207865169,"Visual","high-volubility","Word3",13160,"C","MA1","Multimodal"
