"","begintime_msec","endtime_msec","duration_msec","context","sampling_type","on_off","code","code_num","vcm","xds","lex","mwu","is_silent","PI","inq","utt","Description","File","File Path","speaker","utterance","VIHI_ID","group"
"30","3259335",3260450,1115,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"31","3261452",3261807,355,NA,NA,NA,NA,NA,"N","",NA,NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"32","3268638",3268902,264,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"33","3272181",3272657,476,NA,NA,NA,NA,NA,"C","","W","M",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"34","3287255",3287777,522,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"35","3289196",3289909,713,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"36","3295580",3296104,524,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"37","3298030",3298697,667,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"38","11040225",11042238,2013,NA,NA,NA,NA,NA,"C","","0",NA,NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
"39","11043548",11044242,694,NA,NA,NA,NA,NA,"C","","W","1",NA,"","","",NA,"HI_423_959.eaf","file:///Volumes/pn-opus/VIHI/SubjectFiles/LENA/HI/HI_423/HI_423_959/HI_423_959.eaf","CHI","0","HI_423_959.eaf","HI"
